Crime ID,Date & Time,Latitude,Longitude,Crime Type,Severity,Police Station Jurisdiction,Weather,Population Density,Proximity to Landmark (meters),Time of Day,Day of the Week,Holiday/Non-Holiday,Recurring Crime Location,Victim Age Group,Suspect Age Group,Weapon Involved,Arrest Made,Criminal Record Found,Number of Victims,Emergency Response Time (minutes),Crime Recorded by CCTV,Witnesses Present,Area Type,Economic Status of Area,Traffic Density,Nearby Facilities,Reporting Time (minutes)
1,1/2/2025 22:03,26.0337,72.2001,Theft,Low,West Christopherstad,Clear,9572,1608,Morning,Saturday,Holiday,FALSE,18-25,18-25,TRUE,TRUE,TRUE,5,24,TRUE,8,Urban,High-income,High,Hospital,27
2,1/15/2025 1:37,21.4248,76.7141,Robbery,Low,Lake Jeffreychester,Cloudy,18848,796,Evening,Tuesday,Holiday,FALSE,18-25,18-25,FALSE,TRUE,FALSE,3,24,FALSE,0,Rural,Middle-income,High,School,60
3,1/8/2025 11:00,23.1639,76.4163,Fraud,High,New Elizabethchester,Rainy,23918,493,Morning,Monday,Holiday,FALSE,18-25,26-40,TRUE,FALSE,FALSE,4,25,FALSE,2,Suburban,Middle-income,Low,Train Station,45
4,1/15/2025 17:24,29.3032,77.1843,Burglary,High,Port Jessica,Clear,22502,1593,Afternoon,Tuesday,Non-Holiday,FALSE,41-60,26-40,FALSE,TRUE,TRUE,1,30,FALSE,6,Suburban,Low-income,Low,Hospital,57
5,1/6/2025 13:42,26.8971,73.701,Vandalism,Medium,Brandonborough,Cloudy,20035,392,Evening,Tuesday,Holiday,FALSE,60+,60+,FALSE,TRUE,TRUE,5,20,TRUE,0,Urban,Low-income,High,Mall,51
6,1/7/2025 11:48,26.4853,76.7713,Vandalism,Medium,Katherineberg,Cloudy,20337,1183,Evening,Friday,Holiday,TRUE,41-60,41-60,TRUE,FALSE,FALSE,2,19,TRUE,4,Rural,Low-income,High,School,56
7,1/4/2025 15:23,25.8783,78.7334,Burglary,High,North Alex,Clear,10008,865,Afternoon,Friday,Holiday,FALSE,60+,18-25,TRUE,FALSE,FALSE,2,6,TRUE,9,Urban,Low-income,High,Park,53
8,1/7/2025 11:33,19.7613,78.0848,Assault,Low,New Edward,Cloudy,20574,1225,Afternoon,Wednesday,Non-Holiday,TRUE,26-40,41-60,FALSE,FALSE,FALSE,5,19,TRUE,3,Urban,Low-income,Medium,School,38
9,1/7/2025 20:39,25.0931,76.7075,Robbery,Low,East Jessica,Cloudy,6929,568,Morning,Monday,Non-Holiday,TRUE,26-40,41-60,FALSE,TRUE,TRUE,5,23,FALSE,3,Suburban,Middle-income,Low,School,7
10,1/13/2025 1:23,26.2488,74.8344,Vandalism,Medium,Isaiahfurt,Cloudy,6775,1479,Morning,Monday,Non-Holiday,FALSE,18-25,26-40,TRUE,TRUE,FALSE,2,18,TRUE,4,Suburban,Low-income,Low,Park,52
